Activation,Tensor_Size,Mean_Proving_Time_s,Std_Dev_Prove_s,Mean_Verify_Time_s,Mean_Proof_Size_KB,Peak_RAM_MB,Compute_Node
ReLU,7000,72.87653441429138,0.34497018487561093,0.39789066314697263,2108.65859375,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,7500,73.84028921127319,0.9965367651114282,0.41170711517333985,2258.1373046875,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,8000,73.20897836685181,0.4211528945874743,0.42147369384765626,2407.370703125,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,8500,73.62731924057007,0.62089445684484,0.4338689804077148,2556.976171875,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,9000,73.27476263046265,0.1635764506874793,0.4257958889007568,2706.328125,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,9500,73.69890041351319,0.23921155897150087,0.4669299602508545,2855.8609375,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,10000,74.36490402221679,1.131737733257605,0.45099101066589353,3005.2908203125,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,10500,74.23093943595886,0.9766837516803983,0.4516435623168945,3154.3138671875,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,11000,74.36378521919251,0.7843464579729029,0.46965956687927246,3304.2333984375,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,11500,147.1815185546875,0.5980995533026113,0.7679111003875733,3453.3548828125,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,12000,147.39168925285338,1.4548932724507975,0.7895985603332519,3602.7755859375,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,12500,147.0236089706421,0.44285863809374626,0.7845540046691895,3752.05546875,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,13000,147.58585529327394,1.4038244140812468,0.7999499797821045,3901.6068359375,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,13500,148.5785623550415,1.0810651061687258,0.7872693538665771,4051.1583984375,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,14000,148.044434261322,1.1205319160481209,0.8137370586395264,4200.654296875,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,14500,149.05699367523192,1.0617910050096633,0.8219213485717773,4349.8044921875,5496.49609375,node1k04.ecdf.ed.ac.uk
ReLU,15000,148.23888306617738,1.6406238361849117,0.8428565502166748,4499.0564453125,5516.56640625,node1k04.ecdf.ed.ac.uk
ReLU,15500,147.604807138443,0.8034845159933635,0.8163010597229003,4648.9505859375,5517.7578125,node1k04.ecdf.ed.ac.uk
ReLU,16000,148.59383196830748,1.288985452172013,0.8720297813415527,4798.0001953125,5517.8671875,node1k04.ecdf.ed.ac.uk
ReLU,16500,146.81819677352905,0.5387406577619722,0.8273271560668946,4947.51796875,5517.8671875,node1k04.ecdf.ed.ac.uk
ReLU,17000,147.28259601593018,0.6540088124681936,0.8535956382751465,5096.584375,5517.8671875,node1k04.ecdf.ed.ac.uk
ReLU,17500,146.413028049469,0.5292890770993394,0.8426970958709716,5246.3654296875,5517.8671875,node1k04.ecdf.ed.ac.uk
ReLU,18000,147.6232343673706,0.5731326092204658,0.8733302116394043,5395.6681640625,5517.8671875,node1k04.ecdf.ed.ac.uk
ReLU,18500,147.35776047706605,1.550171153682711,0.8775383472442627,5544.9435546875,5517.8671875,node1k04.ecdf.ed.ac.uk
ReLU,19000,148.91996502876282,1.15070012208951,0.8901938438415528,5694.59609375,5517.8671875,node1k04.ecdf.ed.ac.uk
ReLU,19500,150.14668135643007,2.65830146663812,0.8955309867858887,5843.71953125,5517.8671875,node1k04.ecdf.ed.ac.uk
ReLU,20000,148.95051102638246,1.0108545798009838,0.9161622047424316,5993.3603515625,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,10,11.489382600784301,0.06914979544142902,0.03947453498840332,22.9466796875,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,100,11.554769468307494,0.21250957056505596,0.04481511116027832,49.846484375,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,500,11.818790054321289,0.25262512767785605,0.05854177474975586,169.340625,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,1000,11.727757501602174,0.21468170036025297,0.062069034576416014,318.7748046875,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,1500,11.744998788833618,0.09169991379756899,0.06167426109313965,468.2046875,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,2000,11.760469007492066,0.0818705681842186,0.0701228141784668,617.5994140625,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,2500,22.788978576660156,0.27267498988501393,0.1180659294128418,767.0673828125,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,3000,23.070799779891967,0.31851709114704974,0.12462034225463867,916.394921875,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,3500,23.116569805145264,0.2862854905479732,0.13419084548950194,1065.8068359375,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,4000,23.048544120788574,0.09765884451723479,0.14025092124938965,1215.2470703125,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,4500,45.025467252731325,0.3700163308134551,0.22302470207214356,1364.6236328125,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,5000,46.15921869277954,0.5561383508116603,0.24816484451293946,1514.1771484375,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,5500,44.82308082580566,0.24610695734929186,0.2293487548828125,1663.5177734375,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,6000,44.44365043640137,1.3073603811764434,0.23828449249267578,1812.927734375,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,6500,45.34944195747376,0.9027761290265909,0.2593040466308594,1962.3130859375,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,7000,44.213122844696045,2.2915188253869987,0.2558280467987061,2111.7109375,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,7500,46.91603684425354,2.306319497259506,0.40254945755004884,2261.1154296875,5526.82421875,node1k04.ecdf.ed.ac.uk
Sigmoid,8000,48.656225252151486,1.1345905254766722,0.6361783504486084,2410.6572265625,5526.82421875,node1k04.ecdf.ed.ac.uk
