size,trial,logrows,proving_time,peak_ram_mb,proof_size_mb
500,1,17,31.174811363220215,0.06383514404296875,0.08689308166503906
500,2,17,29.812389850616455,0.06383514404296875,0.08684730529785156
500,3,17,30.040775060653687,0.06383514404296875,0.08685970306396484
1000,1,17,30.60826826095581,0.12153244018554688,0.1572418212890625
1000,2,17,31.466346979141235,0.12153244018554688,0.15718460083007812
1000,3,17,32.58303999900818,0.12153244018554688,0.15734004974365234
2000,1,17,31.028632879257202,0.23692703247070312,0.2979135513305664
2000,2,17,30.677541255950928,0.23692703247070312,0.29794788360595703
2000,3,17,31.212348699569702,0.23692703247070312,0.2978801727294922
4000,1,17,51.630390644073486,0.4720497131347656,0.5909433364868164
4000,2,17,52.02652835845947,0.4720497131347656,0.5910768508911133
4000,3,17,52.75100374221802,0.4720497131347656,0.5909709930419922
8000,1,17,77.26909756660461,0.9379615783691406,1.1655445098876953
8000,2,17,76.89488005638123,0.9379615783691406,1.165654182434082
8000,3,17,77.3354320526123,0.9379615783691406,1.165639877319336
16000,1,17,128.2685260772705,1.8698463439941406,2.3151187896728516
16000,2,17,126.1221034526825,1.8698463439941406,2.3148841857910156
16000,3,17,128.4025592803955,1.8698463439941406,2.31494140625
32000,1,17,211.1162133216858,3.7335548400878906,4.613036155700684
32000,2,17,212.85266160964966,3.7335548400878906,4.612706184387207
32000,3,17,222.8527536392212,3.7335548400878906,4.613051414489746
64000,1,17,376.76336145401,7.465366363525391,9.219939231872559
64000,2,17,384.43386673927307,7.465366363525391,9.220891952514648
64000,3,17,437.0117015838623,7.465366363525391,9.219583511352539
