size,logrows,proving_time,peak_ram_mb,proof_size_mb
500,17,37.431800365448,0.12251567840576172,0.1598682403564453
1000,17,37.21149230003357,0.23791027069091797,0.3004169464111328
1500,17,37.250210762023926,0.3533048629760742,0.4407024383544922
2000,17,37.32207942008972,0.46869945526123047,0.5810480117797852
2500,17,37.196192026138306,0.5840940475463867,0.7216520309448242
3000,17,37.36123180389404,0.699488639831543,0.8621759414672852
3500,17,37.14478325843811,0.8148832321166992,1.002401351928711
4000,17,37.31759762763977,0.9302778244018555,1.1426725387573242
4500,17,37.25025272369385,1.0456724166870117,1.2833614349365234
5000,17,37.95745396614075,1.161067008972168,1.4239091873168945
5500,17,39.40500497817993,1.2764616012573242,1.5640602111816406
6000,17,42.10542702674866,1.3918561935424805,1.704437255859375
6500,17,37.920347690582275,1.5072507858276367,1.8447933197021484
7000,17,37.747973918914795,1.622645378112793,1.9855165481567383
7500,17,37.84166097640991,1.7380399703979492,2.1258153915405273
8000,17,38.01447868347168,1.8534345626831055,2.266423225402832
8500,17,66.98636293411255,1.9741392135620117,2.4211158752441406
9000,17,66.98435521125793,2.089533805847168,2.5614089965820312
9500,17,67.09658646583557,2.204928398132324,2.701803207397461
10000,17,67.18410921096802,2.3203229904174805,2.8423919677734375
