size,logrows,proving_time,peak_ram_mb,proof_size_mb
500,17,34.44169902801514,0.06383514404296875,0.0868844985961914
1000,17,35.59174823760986,0.12153244018554688,0.15721511840820312
1500,17,35.48406720161438,0.179229736328125,0.2276020050048828
2000,17,38.036811113357544,0.23692703247070312,0.2979145050048828
2500,17,40.04953384399414,0.29462432861328125,0.36829566955566406
3000,17,36.0422637462616,0.3523216247558594,0.43863677978515625
3500,17,34.291879653930664,0.4100189208984375,0.5089244842529297
4000,17,60.92546081542969,0.4720497131347656,0.5909938812255859
4500,17,70.64414739608765,0.5297470092773438,0.6616125106811523
5000,17,69.84593057632446,0.5874443054199219,0.7321491241455078
5500,17,65.48041582107544,0.6451416015625,0.8022594451904297
6000,17,62.33153700828552,0.7028388977050781,0.8725109100341797
6500,17,61.514803647994995,0.7605361938476562,0.9429187774658203
7000,17,64.52442955970764,0.8182334899902344,1.0132551193237305
7500,17,88.34067058563232,0.8802642822265625,1.0950555801391602
8000,17,88.86329793930054,0.9379615783691406,1.1656084060668945
8500,17,84.17970323562622,0.9956588745117188,1.236222267150879
9000,17,84.41597604751587,1.0533561706542969,1.3065528869628906
9500,17,92.97262954711914,1.111053466796875,1.3767023086547852
10000,17,85.75791430473328,1.1687507629394531,1.4473438262939453
10500,17,87.80863642692566,1.2264480590820312,1.517599105834961
11000,17,90.07353234291077,1.2841453552246094,1.5879297256469727
11500,17,116.91058564186096,1.3462371826171875,1.6696281433105469
12000,17,114.83112645149231,1.4039344787597656,1.7404727935791016
12500,17,109.64057087898254,1.4616317749023438,1.8110876083374023
13000,17,114.2735288143158,1.5193290710449219,1.8810272216796875
13500,17,109.47667860984802,1.5770263671875,1.9516658782958984
14000,17,115.17021918296814,1.6347236633300781,2.021993637084961
14500,17,114.25412559509277,1.6924209594726562,2.0920028686523438
15000,17,138.32818579673767,1.7544517517089844,2.1741209030151367
15500,17,143.33271670341492,1.8121490478515625,2.244685173034668
16000,17,143.3364613056183,1.8698463439941406,2.314922332763672
16500,17,136.29848647117615,1.9275436401367188,2.385188102722168
17000,17,128.02442145347595,1.9852409362792969,2.455470085144043
17500,17,139.05213952064514,2.042938232421875,2.5261545181274414
18000,17,134.9118263721466,2.100635528564453,2.5965394973754883
18500,17,135.41302108764648,2.1583328247070312,2.66666316986084
19000,17,162.5280201435089,2.2203636169433594,2.7491588592529297
19500,17,161.93785309791565,2.2780609130859375,2.8195390701293945
20000,17,158.14087104797363,2.3357582092285156,2.889303207397461
