model_type,parameter_size,trial,logrows,proving_time,peak_ram_mb,proof_size_mb
Linear,4500,2,17,55.108211517333984,0.5297470092773438,0.6616249084472656
Linear,4500,3,17,55.256129026412964,0.5297470092773438,0.6616592407226562
Linear,4500,4,17,55.549689054489136,0.5297470092773438,0.6614170074462891
Linear,4500,5,17,53.6458044052124,0.5297470092773438,0.6617984771728516
Linear,5000,1,17,54.524155616760254,0.5874443054199219,0.7319068908691406
Linear,5000,2,17,51.55405068397522,0.5874443054199219,0.731745719909668
Linear,5000,3,17,51.29770493507385,0.5874443054199219,0.7319116592407227
Linear,5000,4,17,50.90516138076782,0.5874443054199219,0.7318525314331055
Linear,5000,5,17,52.24743866920471,0.5874443054199219,0.7318363189697266
Linear,5500,1,17,53.73203992843628,0.6451416015625,0.8021183013916016
Linear,5500,2,17,53.88669991493225,0.6451416015625,0.8021793365478516
Linear,5500,3,17,52.67592787742615,0.6451416015625,0.8020534515380859
Linear,5500,4,17,51.387715101242065,0.6451416015625,0.8021507263183594
Linear,5500,5,17,53.671395778656006,0.6451416015625,0.8022747039794922
Linear,6000,1,17,62.204116344451904,0.7028388977050781,0.8725643157958984
Linear,6000,2,17,52.32927989959717,0.7028388977050781,0.8725900650024414
Linear,6000,3,17,46.4442412853241,0.7028388977050781,0.8724288940429688
Linear,6000,4,17,46.27360963821411,0.7028388977050781,0.8723363876342773
Linear,6000,5,17,46.787638664245605,0.7028388977050781,0.872462272644043
Linear,6500,1,17,45.7451548576355,0.7605361938476562,0.942927360534668
Linear,6500,2,17,47.01226997375488,0.7605361938476562,0.9428415298461914
Linear,6500,3,17,45.000532388687134,0.7605361938476562,0.9429855346679688
Linear,6500,4,17,50.527652740478516,0.7605361938476562,0.9427900314331055
Linear,6500,5,17,50.717559814453125,0.7605361938476562,0.942718505859375
Linear,7000,1,17,48.2939510345459,0.8182334899902344,1.0132732391357422
Linear,7000,2,17,48.95343852043152,0.8182334899902344,1.0132312774658203
Linear,7000,3,17,47.84876894950867,0.8182334899902344,1.0131826400756836
Linear,7000,4,17,48.54953098297119,0.8182334899902344,1.0132713317871094
Linear,7000,5,17,47.673603534698486,0.8182334899902344,1.013148307800293
Linear,7500,1,17,74.84173798561096,0.8802642822265625,1.0952281951904297
Linear,7500,2,17,72.91686868667603,0.8802642822265625,1.0951242446899414
Linear,7500,3,17,77.9259660243988,0.8802642822265625,1.0952701568603516
Linear,7500,4,17,76.02546834945679,0.8802642822265625,1.0955066680908203
Linear,7500,5,17,76.64621901512146,0.8802642822265625,1.0950508117675781
Linear,8000,1,17,80.9031834602356,0.9379615783691406,1.1658859252929688
Linear,8000,2,17,88.00545001029968,0.9379615783691406,1.1656980514526367
Linear,8000,3,17,72.83049392700195,0.9379615783691406,1.1654853820800781
