out_channels,logrows,proving_time,peak_ram_mb,proof_size_mb
4,17,41.82275414466858,0.21280956268310547,0.26859092712402344
8,17,41.90368986129761,0.33097362518310547,0.4124736785888672
12,17,74.21447706222534,0.45347118377685547,0.5685043334960938
16,17,74.64160823822021,0.5716352462768555,0.712559700012207
20,17,75.27510452270508,0.6897993087768555,0.856257438659668
24,17,111.90803146362305,0.8122968673706055,1.0127506256103516
28,17,115.32042956352234,0.9304609298706055,1.1567411422729492
32,17,142.39007806777954,1.0530195236206055,1.3124713897705078
36,17,140.6122829914093,1.1711835861206055,1.4565362930297852
40,17,141.30165243148804,1.2893476486206055,1.601151466369629
44,17,175.94411516189575,1.4118452072143555,1.756861686706543
48,17,173.1713993549347,1.5300092697143555,1.901106834411621
52,17,180.75603771209717,1.6481733322143555,2.045050621032715
56,17,210.20824599266052,1.7706708908081055,2.2009735107421875
60,17,210.10311698913574,1.8888349533081055,2.3450450897216797
