model_type,parameter_size,trial,logrows,proving_time,peak_ram_mb,proof_size_mb
TransformerBlock,16,1,17,276.7318925857544,0.08274364471435547,0.1370382308959961
TransformerBlock,16,2,17,269.8977954387665,0.08274364471435547,0.13717079162597656
TransformerBlock,16,3,17,276.7867729663849,0.08274364471435547,0.13713932037353516
TransformerBlock,32,1,17,416.973920583725,0.15488719940185547,0.2443685531616211
TransformerBlock,32,2,17,417.83165431022644,0.15488719940185547,0.24434185028076172
TransformerBlock,32,3,17,445.11253476142883,0.15488719940185547,0.24425029754638672
