channels,logrows,proving_time,peak_ram_mb,proof_size_mb
8,17,75.73245334625244,0.09763050079345703,0.13093185424804688
16,17,127.04397130012512,0.10287952423095703,0.14538288116455078
24,17,183.95019054412842,0.10782337188720703,0.15902137756347656
