Activation,Scale,Mean_Proving_Time_s,Mean_Proof_Size_KB,Peak_RAM_MB,Status
Linear,13,10.694975058237711,614.4026692708334,956.765625,Success
Linear,14,20.352139790852863,618.2897135416666,1273.484375,Success
Linear,15,50.21378413836161,622.3053385416666,1869.703125,Success
Linear,16,87.41658822695415,626.1907552083334,3009.42578125,Success
ReLU,13,21.533753633499146,614.5250651041666,3009.42578125,Success
ReLU,14,32.22058129310608,618.4095052083334,3009.42578125,Success
ReLU,15,49.76425806681315,622.2444661458334,3009.42578125,Success
ReLU,16,99.05858739217122,626.1334635416666,3019.71875,Success
Sigmoid,13,14.314506371816,617.5865885416666,3019.71875,Success
